Actual,Predicted,Error %
8910,9296.80919073784,890895.6587071747
10819,10618.949256961085,1081801.8490687036
5341,5709.187854815053,533993.1063872905
8195,8080.715519435753,819401.3945635211
8179,8420.41077590084,817797.0484071904
9742,9827.648801779991,974099.1208293802
12266,11721.844407714412,1226504.436292127
7375,7749.003549917816,737394.9287654248
15680,16528.038659238457,1567894.5915901836
11323,11554.405029244885,1132197.95632757
11523,11722.086757904006,1152198.2722662683
12368,11668.367729650294,1236705.6567939064
11111,10697.697890790803,1111003.7197561804
12065,11474.971579774883,1206404.8904137607
15370,15066.752321557044,1536901.9729842448
11986,11627.186877088574,1198502.993601893
5365,5855.055097213088,536390.8657018227
10577,11138.711935947293,1057594.6893075926
5019,4950.753655828906,501801.3597597962
8624,9068.467872436751,862294.8461517575
12717,11791.472023254097,1271607.2778798202
2737,3218.830561642594,273582.39566818986
10831,10762.833849118542,1083000.629361563
10530,10164.494394873116,1052903.4710883677
7159,7335.147619759975,715797.5394940667
12540,12563.430355850574,1253899.813155057
10485,10347.384021396361,1048401.3125033726
6610,6676.134351932772,660898.9994803036
9203,9664.287435061275,920194.9876406058
6937,6652.224992843577,693604.1051608354
11217,10723.357119599515,1121604.4008458627
9107,9621.898888733976,910594.3461195922
8304,8073.2353545851765,830302.7789576759
11128,11247.0837325707,1112698.929873
5649,5548.4626578708385,564801.7797369823
9486,9240.097926022554,948502.5922630612
9504,9549.337854870728,950299.5229602813
12121,12219.281154915552,1211999.1891662823
5102,5156.801454567286,510098.9258828976
11905,12090.298065053059,1190398.443527383
9386,9806.403146234206,938495.5209551861
8896,8606.603635445928,889503.253106616
10707,11277.686117853256,1070594.6699718141
10739,10476.17303578568,1073802.4474063155
8534,8231.646025282875,853303.5429338495
11355,10676.364977789784,1135405.9765303587
8570,9044.618757554596,856894.4618581381
5348,5234.496416068226,534702.1223557205
15387,15046.091905954767,1538602.2155591997
8253,7849.7513316865625,825204.8860858877
7061,7330.832413519933,705996.1785524215
15476,15035.719941271676,1547502.8449215477
13567,14185.72915078066,1356595.4394549218
16404,16082.476562456352,1640301.9600307092
14668,15120.091976377646,1466696.9178349033
7363,7247.713355052049,736201.5657564165
16353,15670.523731317182,1635204.1734010193
9756,9388.200251765373,975503.7699851193
14286,13898.437445525129,1428502.7128836235
3197,3488.751514812132,319590.87420973374
13920,13883.78257833131,1391900.2601826268
12668,13043.739353433251,1266697.0339488992
9189,9636.46723525248,918795.13040336
10132,10139.082547187656,1013099.9300972446
3819,4006.6613309239524,381795.0861133563
15113,15992.347277557144,1511194.1815173854
15314,14835.055515835764,1531303.1274943461
8771,9144.631469275908,876995.740149706
4948,4893.035141508849,494701.1108500099
9475,9217.976685732716,947402.7126471163
6847,7003.901266502902,684597.708466971
5081,5538.93515516522,507990.98730259464
16451,16933.947898065333,1644997.0643249769
17392,18105.180650104106,1739095.899375287
10257,10434.397006778527,1025598.2704786315
7689,7987.959663524206,768796.1118524708
12916,12672.48802974656,1291501.8853512716
12160,11927.05997875931,1215901.9156251748
13035,13177.23176215377,1303398.9088472407
12899,13031.915103248844,1289798.9695704842
15966,15703.62858825877,1596501.6433133644
11792,11901.561762279744,1179099.0708805777
7238,7457.779505161868,723696.9635326725
11602,11158.323248109851,1160103.8241402507
3265,2886.026399861359,326411.607154675
5737,6036.77028072449,573594.7747902959
12422,11765.31024149736,1242105.2865058645
3021,2803.847085427321,302007.18811368995
12472,12357.137144083328,1247100.9209658108
8819,9121.69350068724,881796.5677117509
3163,3218.35257543296,316198.2499976151
3907,4131.030437873076,390594.2659217335
9135,8780.101530317053,913403.8850407191
13755,13343.830094100947,1375402.989239592
11335,11091.615451204183,1133402.1471949606
8283,7951.585172042156,828204.0011448504
10989,11544.185030406508,1098794.9478111712
9744,9763.082871471248,974299.804157723
16656,16272.53906812294,1665502.3022390243
3180,2867.285263577566,317909.83379674284
13546,14191.350002766552,1354495.235862965
11566,11848.10537938169,1156497.5609080116
8489,8423.929249597599,848800.7665302203
14419,15382.680176081356,1441793.3165949367
11386,11325.526548889895,1138500.5311211233
8148,8143.269436324427,814700.0580579735
7874,7554.438464832234,787304.0584396136
8095,7745.357138202307,809404.3192447411
9469,9748.561437423632,946797.0476139252
7394,7079.13051013861,739304.2584459002
2533,2048.843935205417,253219.11393860224
7310,7202.557720463593,730901.4697986257
3297,3379.7353030700324,329597.4905883206
10275,10012.516053266256,1027402.5545882895
15319,15596.861093117388,1531798.1861668967
3880,4034.9236143206563,387896.00712334225
6656,6535.759577322348,665501.806496735
14574,14757.376314413417,1457298.74175714
14808,14194.852537460414,1480704.1406500712
10425,10843.497649403318,1042395.9856340585
6267,6420.352262175854,626597.553019592
13127,13551.410018616632,1312596.766892522
9738,9257.251435545491,973704.9368306065
11345,11047.503837522952,1134402.6222667473
7530,7433.698467779687,752901.2789048103
13755,13663.515205928044,1375400.6651021016
12693,12794.562508729392,1269199.1998541816
5616,5997.824605354489,561493.201128822
15342,14603.763834550025,1534104.8118639383
8375,8615.421088015666,837397.1293004415
11299,11398.027768353579,1129799.1235705076
13980,14278.175331658522,1397897.8671292441
12999,12780.581696574292,1299801.6802700472
7159,7648.9359544502295,715793.1563632567
10084,9655.33043171262,1008304.2509873889
10131,10161.949999427554,1012999.6945020291
15642,16036.059964183534,1564097.4807571655
13749,13679.29930190248,1374800.506951037
11919,12258.052489295813,1191797.155361278
8204,7970.282147778994,820302.8488280377
8707,8896.591219999435,870597.822542552
14312,13553.222251158666,1431105.301689134
8761,8462.699016047636,876003.4048736898
11236,11872.234336723352,1123494.337537053
11323,11891.889074622446,1132194.9758096386
9655,9326.740604012788,965403.3998901709
8419,7925.643017058742,841805.8600425578
6960,7195.962782054979,695896.6097301429
11536,11941.882806199952,1153496.4815984205
16936,17458.14256291856,1693496.9169664448
6370,6845.945909062546,636892.5283216788
11466,11688.504560659498,1146498.059440427
9860,9389.210729985298,985904.7747390468
13475,14257.784012459028,1347394.190842208
6679,6524.923036084536,667802.3068867183
12547,12895.99757722233,1254597.2184779053
5897,5550.0996273253895,589605.8826585157
2967,3084.4705572574217,296596.04076315276
13451,12700.495484631676,1345005.5795443861
10092,10079.216508926695,1009100.1266695508
7107,6712.949129687514,710605.5445458044
8995,8893.17011558645,899401.132072089
9170,8971.714240573288,916902.1623310733
9874,10338.385260383067,987295.2968881873
9127,9537.742918594133,912595.4996941098
6762,6884.460226439587,676098.1889939894
8099,7894.835716360158,809802.5208579287
3651,3456.038902462151,365005.3399369361
10126,9805.61948103478,1012503.1639395512
9001,9015.479261969425,899999.8391371851
6295,6532.694175651531,629396.2240798149
2561,3077.4036497017796,255979.8358590511
8473,8864.607548874266,847195.3781712631
5244,4902.116600676091,524306.519515624
15734,16592.535421461405,1573294.5434382772
9197,9313.497020693463,919598.7333149866
11767,11648.891774755644,1176601.0037241883
5162,5545.165708237759,516092.57718503993
12960,12395.470728968321,1295904.3559357333
9194,9509.055527960994,919296.5732485538
15180,15103.284826190798,1517900.5053700514
8381,8265.371931650818,838001.3796452493
13917,13335.851552811777,1391604.1758169662
1492,1770.4856348524472,149081.33474297237
4031,4570.694835947546,402986.6113908224
14181,13934.167266692175,1418001.7405876406
13962,14386.837467405447,1396096.9571875993
17392,17869.32872418358,1739097.255469617
13280,13499.966065148841,1327898.3436290275
9497,9669.169607170941,949598.1871158557
18033,16811.41513876184,1803206.7741632632
8278,8343.37167848375,827699.2102962252
11996,12411.640518919077,1199496.535174067
981,817.6986804491507,98016.64641381762
15634,15808.372902474046,1563298.8846558623
13506,12671.365418381978,1350506.179731835
7408,7757.8138360444755,740695.2778909821
11880,12082.670676318034,1187898.294017876
8129,7704.702662317592,812805.2195514538
10413,9850.270730604494,1041205.4041032305
12279,12270.21843128248,1227800.0715169697
8042,7757.817844581098,804103.5337248871
8752,8366.237565537807,875104.4077060611
4363,4654.98237804992,436193.3077612182
8703,8812.378516939227,870198.7432090436
14108,13348.808402459605,1410705.3812843603
4293,4444.182631682148,429196.4783919943
15865,15647.708826632348,1586401.3696260534
8409,8152.34668244684,840803.052126502
9132,9183.191580811439,913099.4394264036
10739,11287.750073377469,1073794.8901194397
12707,12462.79779239975,1270601.9217927726
14493,15034.536533028746,1449196.2634614431
11553,11893.252450037033,1155197.054856314
11125,10619.403100534277,1112404.5446912313
4620,4841.391819895239,461895.20796926634
9727,10052.416612477518,972596.6545017736
8828,8609.684088941909,882702.4729940083
4461,4601.623066802641,445996.84772322787
9927,9653.348752541351,992602.7566359168
5699,5275.5165059403935,569807.4308386395
11173,10578.794444916053,1117205.3182274688
4042,3760.4362793479286,404106.96595053567
4373,4097.861595538828,437206.29175404663
19606,19562.30757377532,1960500.2228523218
10748,10494.839811848102,1074702.3554167117
9792,10182.982522067308,979096.0071229363
14814,15568.138451687617,1481294.9092854618
10792,10256.671169536252,1079104.9604228176
8801,9031.792940977872,879997.3776509376
4158,4540.187343796832,415690.80838519003
15430,14985.237419673129,1542902.8824535343
11341,10797.297610664682,1134004.7941309349
13290,12774.032557969598,1328903.8823735293
9150,9396.51659132789,914897.3058296029
14285,14746.680226005563,1428396.7680768217
9425,9610.850839416944,942398.0281078046
11501,11385.09068860786,1150001.007819419
11035,10597.084823170055,1103403.9684202704
4300,4610.520111388861,429892.77860206075
6997,6815.312099123718,699602.5966542929
5697,5835.090254280291,569597.576088217
10751,11067.91498831184,1074997.0522278084
11346,10650.448259265006,1134506.1303696523
5736,5773.265785003215,573499.3503175557
9793,9380.861735135599,979204.2084985691
11301,11092.816242428245,1130001.842171114
8169,8312.636060993678,816798.2416934632
8163,7892.842373837112,816203.3095384805
9466,9025.596823835574,946504.652473866
6687,6459.114619321601,668603.4078866559
10629,10262.351622938066,1062803.4495096158
5924,5950.431432730912,592299.5538245656
6773,6647.0856635589225,677201.8590629919
11790,11168.073076644414,1178905.2750375178
13906,13406.717651093097,1390503.5904095275
10821,11020.926501478141,1081998.1524212044
11275,11212.959356307125,1127400.5502496115
11286,10851.112117091325,1128503.8533393843
12742,13326.680540871157,1274095.4113911407
5572,5369.022580235634,557103.6428108356
6741,7044.103673926345,673995.5035799744
12222,12531.785984664604,1222097.4653413135
9916,10066.064234231446,991498.4866454797
5203,5160.427045226919,520200.818238608
15338,16136.918929654028,1533694.791244428
10466,9995.083201361856,1046504.4994916744
18216,17446.970530715385,1821504.2217252376
17324,17854.98952011476,1732296.9349485103
10907,11056.945271874718,1090598.6252381785
13871,13535.806598228253,1387002.4165049512
12805,12585.134139960392,1280401.7170313161
13738,13886.211199556468,1373698.9211588327
6156,6155.456194911423,615500.0088337408
9134,8896.969655917594,913302.5950333269
10239,10673.379989054803,1023795.757593622
6440,6847.34253805839,643893.6748053096
5881,6027.423419118594,587997.5102292277
6862,7022.489247463932,686097.661188466
10495,9946.668407439625,1049405.2246935926
10873,11202.552307879898,1087196.9690765392
6662,6964.488074250831,666095.4595005367
11479,11629.427049833856,1147798.6895456936
6349,6304.601835916264,634800.6992938113
9061,8803.30242550113,906002.8440301789
18088,17695.16174222232,1808702.1718169933
8547,8010.6112009225835,854606.275755225
5717,5626.245127309314,571601.5874562304
6076,6009.217124262134,607501.0991256705
2960,3026.2857872646073,295897.7606152951
14788,14134.771596595769,1478704.4172870123
6916,6753.778668619094,691502.3455947279
15910,15843.579965511526,1590900.417473504
5949,5457.974330154091,594808.2539194797
7834,8131.084168022091,783296.2077588968
12017,11894.30642515987,1201601.0210000402
9133,9593.138705710142,913194.9618010982
11912,12586.889317615925,1191094.3343744325
10494,10735.46742433872,1049297.6989953846
7178,7015.824795218007,717702.2593369293
11734,11802.044610082727,1173299.4201072943
11830,11905.60940712839,1182899.3608672263
2006,1717.6855243876435,200514.37260596274
13291,13565.03098415398,1328997.938221472
4241,4048.858902199556,424004.53056113655
6915,6976.141281663847,691399.1158166064
13061,12415.46218412701,1306004.9424838517
10166,10252.403463680732,1016499.1500741326
6578,6697.530793343466,657698.1828702744
8905,8665.969839200958,890402.6842241527
20012,19158.123087251057,2001104.2668244692
17456,18419.776206977236,1745494.4788255787
889,1535.488466945043,88727.2791375765
6699,6799.9166311101,669798.493556783
10862,10308.493242734849,1086105.0958088497
8589,8260.700335954496,858803.8223269768
9545,9774.339493303056,954397.5972813693
1589,1406.0045431972294,158811.51639123994
7214,7350.609592224503,721298.106326695
11891,11424.60336594109,1189003.9222658654
10702,10291.657035795002,1070103.834264289
8064,7523.666857184975,806306.7005598068
7305,7284.555063878716,730400.2798759222
8758,8674.133767844298,875700.9575957085
7540,7865.435859619333,753895.6838745408
12396,12031.996330382586,1239502.9364607101
16396,16498.063149111687,1639499.3775118985
13671,13096.642989325721,1367004.2012801599
4322,4848.812179237755,432087.8109167229
15264,15595.09110967239,1526297.8309020593
10895,10378.219186446884,1089404.7432841996
10220,10157.846188629475,1021900.608158624
17079,17792.72234973032,1707795.821053049
9205,9284.538341710198,920399.1359224148
8756,8836.887384004862,875499.0762062129
18467,18311.05530505655,1846600.8444506144
13639,14248.759529548966,1363795.529294453
10934,10576.965673012317,1093303.2653587617
11956,12778.161941113854,1195493.1234364244
12262,12427.848317826729,1226098.647461117
11610,11613.587961915986,1160899.969095935
13821,12983.624613879372,1382006.0587177926
5209,5132.9826762473185,520801.4593458198
9324,9344.30236446492,932299.7822569234
8661,8197.26671159461,866005.3542695809
10136,9784.555071074006,1013503.4672940896
4027,4040.3638272742837,402599.6681443438
6581,6625.738390435525,657999.3201885666
7767,8271.788060433422,776593.5008618459
9374,9863.126418038511,937294.7820949645
8085,7614.419816365118,808405.8204104345
14646,14714.81953070123,1464499.5301138149
11382,11475.820627144545,1138099.1757105328
9751,9862.739122549769,974998.8540752481
12364,12607.65553281581,1236298.0293146812
9260,9732.596418239822,925894.8963669736
8951,9388.539924806682,894995.1118319205
12062,12300.146386977456,1206098.025647596
6995,6709.473911803682,699404.0818597312
13977,13367.847896986685,1397604.3582464266
10058,10518.622444499417,1005695.420337597
12743,13373.482574877267,1274195.0523222564
11783,11639.613178200747,1178201.2168957125
14345,14176.06359894558,1434401.1776674874
8531,8541.76190695386,852999.8738494085
8438,8902.195841293567,843694.4987456591
11544,10860.028075062848,1154305.9249127246
7653,7368.589222724766,765203.7163305538
10489,10124.8478363556,1048803.4717529186
9105,9292.84022919701,910397.9369551982
3900,3489.1247696201985,389910.53526231745
9413,9450.541715362308,941199.6011716204
8555,8129.828352351415,855404.969861457
11008,10825.171014057754,1100701.6608737821
7869,7756.431469971562,786801.43053158
9312,9802.340524619904,931094.7343156721
5937,6087.747833824976,593597.4608752935
7889,7705.015525630146,788802.332164715
12396,12913.955858459705,1239495.8215887507
6127,6245.729775606675,612598.0621874391
13243,13178.403078691954,1324200.4877816304
7394,7195.468634293167,739302.6850333473
7732,7901.46076625682,773097.808319112
6900,6949.181133535206,689899.2872299487
12152,12696.524453379156,1215095.5190548603
6902,6375.704310079559,690107.6252635457
5490,5456.41197535209,548900.6118037277
10564,10058.853365596715,1056304.7817742748
8118,7916.729930172576,811702.4793061077
9221,9333.99438415885,921998.7745972871
15994,14890.115912595473,1599306.9018637452
7667,7586.046831397345,766601.0558649877
8352,8316.189982009168,835100.428759794
8280,8159.1785440238455,827901.4591963282
8313,7921.3492353731335,831204.711304759
9651,10031.890857145348,964996.0533534645
14633,13883.09957962043,1463205.1247209758
5082,5197.2210342806975,508097.7327620173
16710,15781.778713351248,1670905.5548850188
9808,9672.593441375922,980701.3805725797
8638,8381.844335013482,863702.9654510882
9097,8972.795593344952,909601.3653336997
11262,11642.669780964927,1126096.6198740813
14180,14844.205304221736,1417895.3159005344
10014,10091.408348708108,1001299.2269987147
6722,6949.011911747694,672096.622851655
6182,6119.746422774653,618101.0070135429
12027,11834.591119602366,1202601.599807769
8354,8318.379481120617,835300.4263887824
9589,10024.529753433082,958795.4580273913
8450,8173.22415635881,844903.275453771
16163,16704.638371722383,1616196.6488995128
7894,8108.40274740506,789297.2839783708
2723,3050.1107946412585,272187.98711734696
12448,11960.637738701656,1244703.915185261
10582,10172.777428646066,1058103.8671571666
15335,14691.141169044899,1533404.1986229601
5648,6208.259301182841,564690.080394809
16165,15947.110251244441,1616401.3479106016
8011,7686.330812393048,801004.0527922557
6187,6202.664416572545,618599.7468172527
15454,15265.398626006558,1545301.2204049048
12850,12481.590633594838,1284902.8669989605
17474,18712.61673061244,1747292.911658861
7263,7172.98937494128,726201.2393036631
6151,5928.152194651587,615003.6229524524
10000,10183.065129049257,999898.1693487096
4649,4774.378429217731,464797.3031097178
15156,14310.528550893709,1515505.57846034
8158,7794.599883892338,815704.4545245908
1129,1698.8767206628186,112749.52376256308
11152,10898.62566312099,1115102.2720080423
11848,11649.251034214987,1184701.677489583
13723,13687.340083687543,1372200.259855107
9563,9465.995587102789,956201.0143721938
8949,9306.737324009624,894796.002488278
11494,11377.053178881704,1149301.0174597278
9675,9225.053783381816,967404.65060689
12625,12649.23886049967,1262399.8080090259
13341,14179.52398170446,1333993.7146841937
9888,10102.918287134524,988697.8264736334
8051,7805.7594053581615,805003.0460886181
11435,10837.819680794333,1143405.2223901986
11732,11061.25062210736,1173105.7172637053
5547,5065.9346477387335,554608.67253204
17242,16390.717209561706,1724104.9372624431
14792,14205.70832131868,1479103.963572733
8857,9339.897969820406,885594.5478382091
7781,7626.948887749084,778001.9798369394
6319,6564.073265826329,631796.1216447883
12084,12450.427695035009,1208296.967662239
10184,10184.966701620095,1018299.9905076431
9269,9369.5738283469,926798.9149441326
17854,16851.337228253244,1785305.6158999202
11340,10933.143157135846,1133903.5878028471
13798,13765.121311409566,1379700.2382859008
3139,2664.301918833212,313815.12258939684
12995,13608.018057313115,1299395.2826621216
10381,10267.56311924454,1038001.0927355819
7166,6881.678534839948,716503.9676453413
12555,12113.467271761809,1255403.5167879588
1662,1921.7887698823947,166084.36890674595
6670,7126.635102265923,666893.1538965177
15736,15179.025087941402,1573503.5394948656
6453,5945.322348668719,645207.8673121235
7957,8135.018387687285,795597.7627449078
6508,6545.163323702171,650699.4289593777
13486,12934.303772301457,1348504.090881119
8179,7805.882544539334,817804.5618957753
5998,6129.910917045172,599697.8007516331
9986,9567.627803383462,998504.1895873884
5566,5249.290224967603,556505.6900786028
3475,3751.6262176526243,347392.039533305
8887,9254.633382107995,888595.8632453908
13412,13330.137230308861,1341100.6103695922
834,1161.9420311771396,83260.67841352792
5013,5027.67445569744,501199.7072719789
3031,3055.5194694530787,302999.191043568
9273,8699.872972864207,927206.1805998828
11160,10756.449473811677,1115903.6160441416
8720,8816.28314703436,871898.8958354697
6234,6727.771044243548,623292.0793865216
10175,10447.028493663955,1017397.3265012908
13514,13321.161727386929,1351301.426951847
16033,15398.366955863057,1603203.9582925474
7677,8151.541439194604,767593.8186604247
15394,14834.08382564445,1539303.6372364191
16403,16744.856273787213,1640197.915891765
15743,15690.167820855584,1574200.335591559
8475,8753.033543169055,847396.7193682222
11138,10810.69787398187,1113702.9386077034
3705,3577.862512014748,370403.4315111467
7622,7778.9795991426445,762097.9404408404
15263,15573.954125748827,1526197.9626932729
8454,8388.212229890703,845300.7781851208
9950,9495.087757894173,994904.5719823327
15194,15581.428471016141,1519297.4501219492
9181,8892.946041019039,918003.1375009146
11488,11797.736131558977,1148697.3038289384
11127,10999.241223514502,1112601.1481870809
4645,4608.968566970084,464400.77570361743
9599,9306.218183309422,959803.0501283123
6457,6553.640048998683,645598.5033289609
9171,9665.3608429579,916994.6095208488
12586,13087.848480378674,1258496.0126451582
8686,8200.823931942841,868505.5857249374
10859,11186.994759474332,1085796.9795122987
7803,7776.20643306428,780200.343375201
6293,6426.904954610421,629197.8721602636
7317,7280.162087119947,731600.5034565106
4553,4454.427150717664,455202.16500876966
17322,17604.180118073982,1732098.370972647
12098,11838.823657459818,1209702.1423073446
11157,11402.291135283598,1115597.8014597537
8406,8297.267677145828,840501.2935084804
16501,17462.119602158273,1649994.1753857213
9164,8713.485554575218,916304.9161331889
9880,10234.24924382436,987896.4144813379
5817,5887.8575364706685,581598.7818886631
7865,7960.587179153856,786398.7846512503
9701,9753.694354131596,969999.4568152343
9394,9305.640408447594,939300.9405960352
14840,15572.166181137176,1483895.0662656259
12747,12049.069703844016,1274605.4752514015
11972,11628.869144924334,1197102.8661113854
13671,13970.191250723576,1366997.8114896442
11374,10710.299933558626,1137305.835238847
9319,9620.752191764037,931796.7619681107
